,perf,subjects,Network,Model
0,0.1669762950536324,1,language,GPT2XLU-lt
1,0.1043111354989448,1,language,GPT2XLU-lt
2,0.43592967795981663,1,language,GPT2XLU-lt
3,0.38073299390156573,1,language,GPT2XLU-lt
4,0.21085479066429422,1,language,GPT2XLU-lt
5,0.44481211748764055,1,language,GPT2XLU-lt
6,0.24942377872623114,1,language,GPT2XLU-lt
7,0.06439448948269552,1,language,GPT2XLU-lt
8,0.2954970920053501,1,language,GPT2XLU-lt
9,0.42473985821368565,1,language,GPT2XLU-lt
10,0.23911706117389323,1,language,GPT2XLU-lt
11,0.12716655001834978,1,language,GPT2XLU-lt
12,0.15178292698848894,1,language,GPT2XLU-lt
13,0.2485712047549013,1,language,GPT2XLU-lt
14,0.2549399814067748,1,language,GPT2XLU-lt
15,0.2241378083593995,1,language,GPT2XLU-lt
16,0.1157456434625671,1,language,GPT2XLU-lt
17,0.11643314004877363,1,language,GPT2XLU-lt
18,0.313449613225213,1,language,GPT2XLU-lt
19,0.04534441324215286,1,language,GPT2XLU-lt
20,0.14653625767223974,1,language,GPT2XLU-lt
21,0.2084388063508973,1,language,GPT2XLU-lt
22,0.25793948585160253,1,language,GPT2XLU-lt
23,0.4885904605348899,1,language,GPT2XLU-lt
24,0.2988860736242854,1,language,GPT2XLU-lt
25,0.451410658210737,1,language,GPT2XLU-lt
26,0.4483025028446329,1,language,GPT2XLU-lt
27,0.09800744791830837,1,language,GPT2XLU-lt
28,0.3558656217915436,1,language,GPT2XLU-lt
29,0.3512713677222564,1,language,GPT2XLU-lt
30,0.12688208828504127,1,language,GPT2XLU-lt
31,0.3121651565722031,1,language,GPT2XLU-lt
32,0.22647898797188018,1,language,GPT2XLU-lt
33,0.2457436696278819,1,language,GPT2XLU-lt
34,0.33649264257636996,1,language,GPT2XLU-lt
35,0.2594472280646012,1,language,GPT2XLU-lt
36,0.3302153786135162,1,language,GPT2XLU-lt
37,0.32108413490170823,1,language,GPT2XLU-lt
38,0.3477077773811603,1,language,GPT2XLU-lt
39,0.2828069834381075,1,language,GPT2XLU-lt
40,0.23526672887267264,1,language,GPT2XLU-lt
41,0.284046608909725,1,language,GPT2XLU-lt
42,0.09656819766174661,1,language,GPT2XLU-lt
43,0.07591684869412171,1,language,GPT2XLU-lt
44,0.12463533411842036,1,language,GPT2XLU-lt
45,0.045888668510766506,1,language,GPT2XLU-lt
46,0.13350243578431498,1,language,GPT2XLU-lt
47,0.2703430461259844,2,language,GPT2XLU-lt
48,0.20752492262577107,2,language,GPT2XLU-lt
49,0.21181659600994968,2,language,GPT2XLU-lt
50,0.05929602902464459,2,language,GPT2XLU-lt
51,0.17086030693832913,2,language,GPT2XLU-lt
52,0.043192088403870565,2,language,GPT2XLU-lt
53,-0.07989619646356144,2,language,GPT2XLU-lt
54,-0.014775557513145871,2,language,GPT2XLU-lt
55,0.4092382816709897,3,language,GPT2XLU-lt
56,0.33469660189967865,3,language,GPT2XLU-lt
57,0.22009058603627435,3,language,GPT2XLU-lt
58,0.15493411295946524,3,language,GPT2XLU-lt
59,0.07311960442653151,3,language,GPT2XLU-lt
60,0.404344159432532,3,language,GPT2XLU-lt
61,0.39193664965410235,3,language,GPT2XLU-lt
62,0.2518858601808181,3,language,GPT2XLU-lt
63,0.2268686296271583,3,language,GPT2XLU-lt
64,0.24463138643195287,4,language,GPT2XLU-lt
65,0.24442075986976483,4,language,GPT2XLU-lt
66,0.159813220171278,4,language,GPT2XLU-lt
67,0.3577359833245282,4,language,GPT2XLU-lt
68,0.3333646659512187,4,language,GPT2XLU-lt
69,0.12478126973643755,4,language,GPT2XLU-lt
70,0.3227935600100548,4,language,GPT2XLU-lt
71,0.29715009393411707,4,language,GPT2XLU-lt
72,0.12751506766970894,4,language,GPT2XLU-lt
73,0.22383263234566866,4,language,GPT2XLU-lt
74,-0.019182992728258366,4,language,GPT2XLU-lt
75,0.013797254492461575,4,language,GPT2XLU-lt
76,0.12512631479107592,4,language,GPT2XLU-lt
77,0.2759229114503656,4,language,GPT2XLU-lt
78,0.1683815300837313,4,language,GPT2XLU-lt
79,-0.05012109330720984,5,language,GPT2XLU-lt
80,0.08527137174081383,5,language,GPT2XLU-lt
81,0.31344764946799597,5,language,GPT2XLU-lt
82,0.1163941811533872,5,language,GPT2XLU-lt
83,0.14483954145155337,5,language,GPT2XLU-lt
84,0.179595287542179,5,language,GPT2XLU-lt
85,0.3864116981920653,5,language,GPT2XLU-lt
86,0.003333560363779934,5,language,GPT2XLU-lt
87,0.0407955136276489,5,language,GPT2XLU-lt
88,0.03129785354393299,5,language,GPT2XLU-lt
89,0.03155320601739591,5,language,GPT2XLU-lt
90,-0.020074114914104237,5,language,GPT2XLU-lt
91,0.1805043511149996,5,language,GPT2XLU-lt
92,0.22957272519142863,5,language,GPT2XLU-lt
93,0.1444903140649348,5,language,GPT2XLU-lt
94,0.012024531467963803,5,language,GPT2XLU-lt
95,0.13698096646680474,5,language,GPT2XLU-lt
96,0.3907541620728072,5,language,GPT2XLU-lt
97,0.17975263957827198,1,language,GPT2XLU-mp
98,0.09941905001362993,1,language,GPT2XLU-mp
99,0.4446287883306888,1,language,GPT2XLU-mp
100,0.3803781218812901,1,language,GPT2XLU-mp
101,0.21222754784514214,1,language,GPT2XLU-mp
102,0.4444808496775588,1,language,GPT2XLU-mp
103,0.2527710118314802,1,language,GPT2XLU-mp
104,0.05332507889295466,1,language,GPT2XLU-mp
105,0.3019103652368463,1,language,GPT2XLU-mp
106,0.4346344739602325,1,language,GPT2XLU-mp
107,0.23119216215940153,1,language,GPT2XLU-mp
108,0.10401803773075402,1,language,GPT2XLU-mp
109,0.15729162247425849,1,language,GPT2XLU-mp
110,0.24812165154509364,1,language,GPT2XLU-mp
111,0.25130757239108925,1,language,GPT2XLU-mp
112,0.225409392156934,1,language,GPT2XLU-mp
113,0.1119140455867252,1,language,GPT2XLU-mp
114,0.12170702902587016,1,language,GPT2XLU-mp
115,0.3182842920325269,1,language,GPT2XLU-mp
116,0.031188334544101685,1,language,GPT2XLU-mp
117,0.1281775163178841,1,language,GPT2XLU-mp
118,0.20858269985423455,1,language,GPT2XLU-mp
119,0.26614429563755515,1,language,GPT2XLU-mp
120,0.5027228922853737,1,language,GPT2XLU-mp
121,0.3053664882452726,1,language,GPT2XLU-mp
122,0.45467297754870606,1,language,GPT2XLU-mp
123,0.4531849154655972,1,language,GPT2XLU-mp
124,0.11483808711056834,1,language,GPT2XLU-mp
125,0.3593861363007258,1,language,GPT2XLU-mp
126,0.3571913448524916,1,language,GPT2XLU-mp
127,0.08970295619861085,1,language,GPT2XLU-mp
128,0.3071572966333788,1,language,GPT2XLU-mp
129,0.21813014727747748,1,language,GPT2XLU-mp
130,0.2459633656939891,1,language,GPT2XLU-mp
131,0.32738320091985557,1,language,GPT2XLU-mp
132,0.2630680881208368,1,language,GPT2XLU-mp
133,0.32736332614972175,1,language,GPT2XLU-mp
134,0.32972784315858844,1,language,GPT2XLU-mp
135,0.3411885087442967,1,language,GPT2XLU-mp
136,0.27875405626316657,1,language,GPT2XLU-mp
137,0.23308787052501484,1,language,GPT2XLU-mp
138,0.2799146812279035,1,language,GPT2XLU-mp
139,0.0991691039136605,1,language,GPT2XLU-mp
140,0.05458388769811615,1,language,GPT2XLU-mp
141,0.11277874013194027,1,language,GPT2XLU-mp
142,0.01499978542556514,1,language,GPT2XLU-mp
143,0.11180173773818051,1,language,GPT2XLU-mp
144,0.2688801052553358,2,language,GPT2XLU-mp
145,0.20773567046997132,2,language,GPT2XLU-mp
146,0.2118580194384462,2,language,GPT2XLU-mp
147,0.09174397829986866,2,language,GPT2XLU-mp
148,0.15136888094150436,2,language,GPT2XLU-mp
149,0.036902537398782444,2,language,GPT2XLU-mp
150,-0.07687935956086081,2,language,GPT2XLU-mp
151,-0.019940824858265562,2,language,GPT2XLU-mp
152,0.4158206396983587,3,language,GPT2XLU-mp
153,0.3345778222863933,3,language,GPT2XLU-mp
154,0.22362454533520298,3,language,GPT2XLU-mp
155,0.15915439900498382,3,language,GPT2XLU-mp
156,0.0773307652501409,3,language,GPT2XLU-mp
157,0.41080636510166074,3,language,GPT2XLU-mp
158,0.3925676875469111,3,language,GPT2XLU-mp
159,0.25677503154784065,3,language,GPT2XLU-mp
160,0.23675730359262576,3,language,GPT2XLU-mp
161,0.23711385487925396,4,language,GPT2XLU-mp
162,0.24274635753501936,4,language,GPT2XLU-mp
163,0.1689524808265542,4,language,GPT2XLU-mp
164,0.36382294983751795,4,language,GPT2XLU-mp
165,0.3369149689982615,4,language,GPT2XLU-mp
166,0.1263319852804041,4,language,GPT2XLU-mp
167,0.3287623914224031,4,language,GPT2XLU-mp
168,0.2975844848219892,4,language,GPT2XLU-mp
169,0.12383222167193272,4,language,GPT2XLU-mp
170,0.22365796332882767,4,language,GPT2XLU-mp
171,-0.02946107670168594,4,language,GPT2XLU-mp
172,0.029249542894572534,4,language,GPT2XLU-mp
173,0.13582950813410066,4,language,GPT2XLU-mp
174,0.273449945855692,4,language,GPT2XLU-mp
175,0.1662633707488427,4,language,GPT2XLU-mp
176,-0.04904554255333026,5,language,GPT2XLU-mp
177,0.0682343779720703,5,language,GPT2XLU-mp
178,0.3172848131761524,5,language,GPT2XLU-mp
179,0.10755139061789823,5,language,GPT2XLU-mp
180,0.1596106302489812,5,language,GPT2XLU-mp
181,0.1789469378450681,5,language,GPT2XLU-mp
182,0.381044817794837,5,language,GPT2XLU-mp
183,0.006794042807468241,5,language,GPT2XLU-mp
184,0.04818291443896182,5,language,GPT2XLU-mp
185,0.011752044583422851,5,language,GPT2XLU-mp
186,0.03269914275550806,5,language,GPT2XLU-mp
187,-1.970465706947998e-05,5,language,GPT2XLU-mp
188,0.1730104067269062,5,language,GPT2XLU-mp
189,0.22656844471924228,5,language,GPT2XLU-mp
190,0.15643583683142878,5,language,GPT2XLU-mp
191,0.03172542013806798,5,language,GPT2XLU-mp
192,0.13323700494301227,5,language,GPT2XLU-mp
193,0.3939572426666158,5,language,GPT2XLU-mp
194,0.16425396088686914,1,language,GPT2XLU-sp
195,0.08784623139007845,1,language,GPT2XLU-sp
196,0.4296720881076278,1,language,GPT2XLU-sp
197,0.38088634424170076,1,language,GPT2XLU-sp
198,0.19889284048699576,1,language,GPT2XLU-sp
199,0.45506645966411974,1,language,GPT2XLU-sp
200,0.26364018763834934,1,language,GPT2XLU-sp
201,0.07451287194463266,1,language,GPT2XLU-sp
202,0.3157720570031345,1,language,GPT2XLU-sp
203,0.43577992236943625,1,language,GPT2XLU-sp
204,0.24613272233767725,1,language,GPT2XLU-sp
205,0.10082642994676952,1,language,GPT2XLU-sp
206,0.14794840790352912,1,language,GPT2XLU-sp
207,0.24813065637179252,1,language,GPT2XLU-sp
208,0.25347728868724523,1,language,GPT2XLU-sp
209,0.26296380233074695,1,language,GPT2XLU-sp
210,0.0986879932047871,1,language,GPT2XLU-sp
211,0.09070837602805393,1,language,GPT2XLU-sp
212,0.3308452754606745,1,language,GPT2XLU-sp
213,0.07530331664110446,1,language,GPT2XLU-sp
214,0.14479838459642103,1,language,GPT2XLU-sp
215,0.22150816992846806,1,language,GPT2XLU-sp
216,0.2735241540226246,1,language,GPT2XLU-sp
217,0.49864079585338983,1,language,GPT2XLU-sp
218,0.3005299329678285,1,language,GPT2XLU-sp
219,0.4682626298464374,1,language,GPT2XLU-sp
220,0.443180328673314,1,language,GPT2XLU-sp
221,0.0937651947268023,1,language,GPT2XLU-sp
222,0.35555873621640505,1,language,GPT2XLU-sp
223,0.3447324128892293,1,language,GPT2XLU-sp
224,0.11371408506205487,1,language,GPT2XLU-sp
225,0.3087577246026478,1,language,GPT2XLU-sp
226,0.25557801363081756,1,language,GPT2XLU-sp
227,0.24036725083899108,1,language,GPT2XLU-sp
228,0.32623730321689576,1,language,GPT2XLU-sp
229,0.24639315505897125,1,language,GPT2XLU-sp
230,0.32091121141819223,1,language,GPT2XLU-sp
231,0.3310480552209041,1,language,GPT2XLU-sp
232,0.3543649041200857,1,language,GPT2XLU-sp
233,0.25969456186722145,1,language,GPT2XLU-sp
234,0.21814830794054826,1,language,GPT2XLU-sp
235,0.27797721053883173,1,language,GPT2XLU-sp
236,0.11497243447929054,1,language,GPT2XLU-sp
237,0.12301928139021914,1,language,GPT2XLU-sp
238,0.15138811191500806,1,language,GPT2XLU-sp
239,0.08075381001121619,1,language,GPT2XLU-sp
240,0.1312623556126973,1,language,GPT2XLU-sp
241,0.25788230881165203,2,language,GPT2XLU-sp
242,0.18873077938515576,2,language,GPT2XLU-sp
243,0.21306904222674655,2,language,GPT2XLU-sp
244,0.03428797048046153,2,language,GPT2XLU-sp
245,0.14060604215637143,2,language,GPT2XLU-sp
246,0.04976389677403159,2,language,GPT2XLU-sp
247,-0.07423371034234291,2,language,GPT2XLU-sp
248,-0.02807243285151344,2,language,GPT2XLU-sp
249,0.3989168965132369,3,language,GPT2XLU-sp
250,0.33560380414059743,3,language,GPT2XLU-sp
251,0.22516754892908467,3,language,GPT2XLU-sp
252,0.15913651140772694,3,language,GPT2XLU-sp
253,0.08041268501545941,3,language,GPT2XLU-sp
254,0.42949367106116715,3,language,GPT2XLU-sp
255,0.40931787623323884,3,language,GPT2XLU-sp
256,0.26927565469650994,3,language,GPT2XLU-sp
257,0.22896280658197576,3,language,GPT2XLU-sp
258,0.23160554761645402,4,language,GPT2XLU-sp
259,0.23505526127454107,4,language,GPT2XLU-sp
260,0.15652150179410002,4,language,GPT2XLU-sp
261,0.3528962550866656,4,language,GPT2XLU-sp
262,0.3314590145062032,4,language,GPT2XLU-sp
263,0.1288396996812375,4,language,GPT2XLU-sp
264,0.31193513409908136,4,language,GPT2XLU-sp
265,0.27560026343839683,4,language,GPT2XLU-sp
266,0.09888170864324085,4,language,GPT2XLU-sp
267,0.2102282423596622,4,language,GPT2XLU-sp
268,-0.04441881734907691,4,language,GPT2XLU-sp
269,0.04408235136401205,4,language,GPT2XLU-sp
270,0.11520734294027588,4,language,GPT2XLU-sp
271,0.294276279796577,4,language,GPT2XLU-sp
272,0.20220613930168838,4,language,GPT2XLU-sp
273,-0.04223702225527422,5,language,GPT2XLU-sp
274,0.07214061593692105,5,language,GPT2XLU-sp
275,0.32708002747183224,5,language,GPT2XLU-sp
276,0.11167445571574999,5,language,GPT2XLU-sp
277,0.13540102536850937,5,language,GPT2XLU-sp
278,0.1545529866290193,5,language,GPT2XLU-sp
279,0.3830431627723871,5,language,GPT2XLU-sp
280,-0.09216309494320633,5,language,GPT2XLU-sp
281,0.033408653737618664,5,language,GPT2XLU-sp
282,0.06190979618232728,5,language,GPT2XLU-sp
283,-0.0027168438488091016,5,language,GPT2XLU-sp
284,0.03767331242477387,5,language,GPT2XLU-sp
285,0.1953026637079417,5,language,GPT2XLU-sp
286,0.21973693590900717,5,language,GPT2XLU-sp
287,0.14339823796073267,5,language,GPT2XLU-sp
288,0.009857027897928325,5,language,GPT2XLU-sp
289,0.15068982398829928,5,language,GPT2XLU-sp
290,0.39396425928254686,5,language,GPT2XLU-sp
0,0.1719418631859858,1,language,Simple
1,0.16032054004664623,1,language,Simple
2,0.441509764825731,1,language,Simple
3,0.41901190482950856,1,language,Simple
4,0.1971407703565459,1,language,Simple
5,0.46522190472996255,1,language,Simple
6,0.2991272634496384,1,language,Simple
7,0.0572513067075376,1,language,Simple
8,0.28789399402362154,1,language,Simple
9,0.42994629133940737,1,language,Simple
10,0.27139160972001264,1,language,Simple
11,0.11069159767765331,1,language,Simple
12,0.10754178481651112,1,language,Simple
13,0.27868519056489904,1,language,Simple
14,0.2617176352779587,1,language,Simple
15,0.2773660696360703,1,language,Simple
16,0.15572113614255684,1,language,Simple
17,0.13287477257507327,1,language,Simple
18,0.354697424396783,1,language,Simple
19,0.14278744438063137,1,language,Simple
20,0.15779612824913924,1,language,Simple
21,0.2619339520488211,1,language,Simple
22,0.2879240319194091,1,language,Simple
23,0.5150497900739048,1,language,Simple
24,0.3067232243370549,1,language,Simple
25,0.4776414424525753,1,language,Simple
26,0.47012205127563134,1,language,Simple
27,0.17240124140544838,1,language,Simple
28,0.376631666042298,1,language,Simple
29,0.367873000763491,1,language,Simple
30,0.13018013467416706,1,language,Simple
31,0.33252995608990416,1,language,Simple
32,0.2281326247981759,1,language,Simple
33,0.26906083405125314,1,language,Simple
34,0.32601758341927334,1,language,Simple
35,0.2827330734547174,1,language,Simple
36,0.3082722050732208,1,language,Simple
37,0.3394132570966366,1,language,Simple
38,0.3707313036813083,1,language,Simple
39,0.30893538406109233,1,language,Simple
40,0.20713449182616073,1,language,Simple
41,0.36797902487551953,1,language,Simple
42,0.14538137756566216,1,language,Simple
43,0.13181000222773667,1,language,Simple
44,0.20367487861697625,1,language,Simple
45,0.08910095122253271,1,language,Simple
46,0.14912288822691921,1,language,Simple
47,0.2865831248229037,2,language,Simple
48,0.25407267620567625,2,language,Simple
49,0.25806376325258146,2,language,Simple
50,0.028495287666513693,2,language,Simple
51,-0.005372209375834176,2,language,Simple
52,0.008947912183220278,2,language,Simple
53,-0.11910963659745623,2,language,Simple
54,0.0005431075201508625,2,language,Simple
55,0.3938323804599909,3,language,Simple
56,0.3488068919687066,3,language,Simple
57,0.20625722224045043,3,language,Simple
58,0.13524719924183815,3,language,Simple
59,0.08162949290439989,3,language,Simple
60,0.40866906594013785,3,language,Simple
61,0.3697670854246378,3,language,Simple
62,0.29303338161340575,3,language,Simple
63,0.2516013954898601,3,language,Simple
64,0.23344169001624182,4,language,Simple
65,0.25130695877648507,4,language,Simple
66,0.19294244913908187,4,language,Simple
67,0.36861422402538524,4,language,Simple
68,0.35414855501585407,4,language,Simple
69,0.13623378037748177,4,language,Simple
70,0.3515963455909234,4,language,Simple
71,0.29106110827930165,4,language,Simple
72,0.14447152620876016,4,language,Simple
73,0.20504835299638777,4,language,Simple
74,0.0746386710584637,4,language,Simple
75,0.034470760089439306,4,language,Simple
76,0.19690996399647423,4,language,Simple
77,0.3259157532997611,4,language,Simple
78,0.20348870042961117,4,language,Simple
79,-0.13416073134850684,5,language,Simple
80,0.10680576069898962,5,language,Simple
81,0.2980631246448236,5,language,Simple
82,0.14449549832925884,5,language,Simple
83,0.11224032859935015,5,language,Simple
84,0.1678147274382914,5,language,Simple
85,0.37741566621060396,5,language,Simple
86,0.033917743961165585,5,language,Simple
87,0.0016666713921809928,5,language,Simple
88,0.09995334262091021,5,language,Simple
89,0.0417611629784635,5,language,Simple
90,0.02637232510208448,5,language,Simple
91,0.17819604762399438,5,language,Simple
92,0.2566825757077403,5,language,Simple
93,0.13982531965638584,5,language,Simple
94,0.09657561493958593,5,language,Simple
95,0.19152350647289915,5,language,Simple
96,0.4262138568903118,5,language,Simple
